tp_pct,sl_pct,n,n_tp,n_sl,n_timeout,total_gross_eur,total_net_eur,roi,win_rate
0.02,0.12,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.125,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.13,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.135,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.14,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.145,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.02,0.15,18,15,0,3,170.9787913910131,62.97879139101309,0.004665095658593562,0.8333333333333334
0.025,0.01,18,7,10,1,56.24997249016393,-51.75002750983607,-0.003833335371098968,0.3888888888888889
0.025,0.015,18,9,8,1,78.74997249016393,-29.250027509836073,-0.0021666687044323016,0.5
0.025,0.02,18,9,8,1,48.74997249016393,-59.25002750983607,-0.004388890926654524,0.5
0.025,0.025,18,10,7,1,56.24997249016393,-51.75002750983607,-0.003833335371098968,0.5555555555555556
0.025,0.03,18,10,7,1,29.999972490163927,-78.00002750983607,-0.0057777798155434126,0.5555555555555556
0.025,0.035,18,10,7,1,3.749972490163895,-104.25002750983607,-0.007722224259987857,0.5555555555555556
0.025,0.04,18,11,6,1,26.249972490163927,-81.75002750983606,-0.0060555575933211895,0.6111111111111112
0.025,0.045,18,12,4,2,62.47499589801072,-45.52500410198928,-0.0033722225260732802,0.6666666666666666
0.025,0.05,18,12,4,2,47.47499589801072,-60.52500410198928,-0.004483333637184391,0.6666666666666666
0.025,0.055,18,12,4,2,32.47499589801072,-75.52500410198928,-0.0055944447482955025,0.6666666666666666
0.025,0.06,18,12,4,2,17.474995898010718,-90.52500410198928,-0.006705555859406614,0.6666666666666666
0.025,0.065,18,12,4,2,2.474995898010718,-105.52500410198928,-0.007816666970517725,0.6666666666666666
0.025,0.07,18,12,3,3,9.852750748920087,-98.14724925107993,-0.007270166611191105,0.6666666666666666
0.025,0.075,18,12,2,4,28.356546241922473,-79.64345375807753,-0.005899515093190928,0.6666666666666666
0.025,0.08,18,12,2,4,20.856546241922473,-87.14345375807753,-0.006455070648746484,0.6666666666666666
0.025,0.085,18,13,1,4,95.85654624192246,-12.143453758077527,-0.0008995150931909279,0.7222222222222222
0.025,0.09,18,13,1,4,92.10654624192247,-15.893453758077527,-0.0011772928709687057,0.7222222222222222
0.025,0.095,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.1,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.105,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.11,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.115,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.12,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.125,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.13,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.135,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.14,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.145,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.025,0.15,18,14,0,4,178.35654624192244,70.35654624192247,0.005211596017920183,0.7777777777777778
0.03,0.01,18,7,10,1,82.49997249016393,-25.500027509836073,-0.001888890926654524,0.3888888888888889
0.03,0.015,18,9,8,1,112.49997249016393,4.499972490163927,0.00033333129556769827,0.5
0.03,0.02,18,9,8,1,82.49997249016393,-25.500027509836073,-0.001888890926654524,0.5
0.03,0.025,18,10,7,1,93.74997249016393,-14.250027509836073,-0.0010555575933211905,0.5555555555555556
0.03,0.03,18,10,7,1,67.49997249016393,-40.50002750983607,-0.003000002037765635,0.5555555555555556
0.03,0.035,18,10,7,1,41.2499724901639,-66.75002750983607,-0.004944446482210079,0.5555555555555556
0.03,0.04,18,11,6,1,67.49997249016393,-40.50002750983607,-0.003000002037765635,0.6111111111111112
0.03,0.045,18,12,4,2,107.47499589801072,-0.5250041019892819,-3.888919273994681e-05,0.6666666666666666
0.03,0.05,18,12,4,2,92.47499589801072,-15.525004101989282,-0.001150000303851058,0.6666666666666666
0.03,0.055,18,12,4,2,77.47499589801072,-30.525004101989282,-0.002261111414962169,0.6666666666666666
0.03,0.06,18,12,4,2,62.47499589801072,-45.52500410198928,-0.0033722225260732802,0.6666666666666666
0.03,0.065,18,12,4,2,47.47499589801072,-60.52500410198928,-0.004483333637184391,0.6666666666666666
0.03,0.07,18,12,3,3,54.85275074892009,-53.14724925107993,-0.003936833277857772,0.6666666666666666
0.03,0.075,18,12,2,4,73.35654624192247,-34.64345375807753,-0.0025661817598575947,0.6666666666666666
0.03,0.08,18,12,2,4,65.85654624192247,-42.14345375807753,-0.0031217373154131503,0.6666666666666666
0.03,0.085,18,13,1,4,144.60654624192244,36.60654624192247,0.0027115960179201833,0.7222222222222222
0.03,0.09,18,13,1,4,140.85654624192247,32.85654624192247,0.0024338182401424054,0.7222222222222222
0.03,0.095,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.1,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.105,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.11,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.115,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.12,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.125,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.13,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.135,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.14,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.145,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.03,0.15,18,14,0,4,230.85654624192244,122.85654624192247,0.009100484906809071,0.7777777777777778
0.035,0.01,18,6,11,1,74.99997249016394,-33.000027509836066,-0.002444446482210079,0.3333333333333333
0.035,0.015,18,7,8,3,89.13740611979829,-18.86259388020172,-0.0013972291763112387,0.3888888888888889
0.035,0.02,18,7,8,3,59.137406119798285,-48.86259388020173,-0.0036194513985334615,0.3888888888888889
0.035,0.025,18,8,7,3,74.13740611979829,-33.86259388020172,-0.0025083402874223498,0.4444444444444444
0.035,0.03,18,8,7,3,47.887406119798285,-60.11259388020173,-0.004452784731866795,0.4444444444444444
0.035,0.035,18,8,7,3,21.637406119798268,-86.36259388020173,-0.006397229176311239,0.4444444444444444
0.035,0.04,18,9,6,3,51.637406119798285,-56.36259388020173,-0.004175006954089017,0.5
0.035,0.045,18,10,4,4,95.36242952764509,-12.637570472354934,-0.0009361163312855507,0.5555555555555556
0.035,0.05,18,10,4,4,80.36242952764509,-27.63757047235492,-0.0020472274423966605,0.5555555555555556
0.035,0.055,18,10,4,4,65.36242952764509,-42.63757047235492,-0.0031583385535077723,0.5555555555555556
0.035,0.06,18,10,4,4,50.36242952764508,-57.63757047235492,-0.004269449664618883,0.5555555555555556
0.035,0.065,18,10,4,4,35.36242952764508,-72.63757047235492,-0.0053805607757299945,0.5555555555555556
0.035,0.07,18,10,3,5,42.74018437855443,-65.25981562144557,-0.004834060416403376,0.5555555555555556
0.035,0.075,18,10,2,6,61.24397987155683,-46.7560201284432,-0.0034634088984031998,0.5555555555555556
0.035,0.08,18,10,2,6,53.74397987155683,-54.2560201284432,-0.004018964453958755,0.5555555555555556
0.035,0.085,18,11,1,6,136.24397987155686,28.243979871556842,0.0020921466571523586,0.6111111111111112
0.035,0.09,18,11,1,6,132.49397987155686,24.493979871556842,0.001814368879374581,0.6111111111111112
0.035,0.095,18,12,0,6,226.24397987155686,118.24397987155683,0.008758813323819024,0.6666666666666666
